,0
2026,0.5901957666556267
2027,0.6460706971137639
2028,0.3480116149623089
2029,0.43956537209150015
2030,0.37965154058554496
2031,0.4364862372992243
2032,0.4659283404361765
2033,0.5516501631750564
2034,0.7920994600836001
2035,0.5351061500055199
2036,0.4959948698210518
2037,0.40346724085285923
2038,0.6422879465389976
2039,0.42880353488779954
2040,0.47157520794171626
2041,0.4505341701804819
2042,0.44810501878832787
2043,0.4158616937999321
2044,0.36547631932747204
2045,0.6162136787168438
2046,
