date,mean_precip_mm,water_year
2015-01-01,30.509999999999998,2015
2015-02-01,19.83,2015
2015-03-01,5.26,2015
2015-04-01,3.6,2015
2015-05-01,4.52,2015
2015-06-01,0.58,2015
2015-07-01,36.84,2015
2015-08-01,0.0,2015
2015-09-01,9.87,2015
2015-10-01,25.87,2016
2015-11-01,9.61,2016
2015-12-01,14.870000000000001,2016
2016-01-01,72.34,2016
2016-02-01,5.13,2016
2016-03-01,30.270000000000003,2016
2016-04-01,6.82,2016
2016-05-01,0.0,2016
2016-06-01,0.0,2016
2016-07-01,0.0,2016
2016-08-01,0.0,2016
2016-09-01,0.0,2016
2016-10-01,5.39,2017
2016-11-01,17.9,2017
2016-12-01,77.4,2017
2017-01-01,138.92,2017
2017-02-01,89.31,2017
2017-03-01,10.14,2017
2017-04-01,0.0,2017
2017-05-01,0.0,2017
2017-06-01,0.0,2017
2017-07-01,0.0,2017
2017-08-01,0.0,2017
2017-09-01,5.24,2017
2017-10-01,0.0,2018
2017-11-01,0.88,2018
2017-12-01,0.0,2018
2018-01-01,36.52,2018
2018-02-01,4.4,2018
2018-03-01,81.12,2018
2018-04-01,2.42,2018
2018-05-01,0.0,2018
2018-06-01,0.0,2018
2018-07-01,0.0,2018
2018-08-01,0.0,2018
2018-09-01,0.0,2018
2018-10-01,0.0,2019
2018-11-01,19.34,2019
2018-12-01,44.14,2019
2019-01-01,90.12,2019
2019-02-01,110.09,2019
2019-03-01,63.75,2019
2019-04-01,1.67,2019
2019-05-01,29.21,2019
2019-06-01,0.0,2019
2019-07-01,0.0,2019
2019-08-01,0.0,2019
2019-09-01,0.0,2019
2019-10-01,0.0,2020
2019-11-01,44.86,2020
2019-12-01,99.62,2020
2020-01-01,4.13,2020
2020-02-01,1.81,2020
2020-03-01,89.94999999999999,2020
2020-04-01,83.05,2020
2020-05-01,2.9,2020
2020-06-01,0.0,2020
2020-07-01,0.0,2020
2020-08-01,0.0,2020
2020-09-01,0.0,2020
2020-10-01,0.0,2021
2020-11-01,6.0600000000000005,2021
2020-12-01,20.69,2021
2021-01-01,42.75,2021
2021-02-01,0.92,2021
2021-03-01,7.93,2021
2021-04-01,0.0,2021
2021-05-01,0.0,2021
2021-06-01,0.0,2021
2021-07-01,0.0,2021
2021-08-01,0.0,2021
2021-09-01,0.0,2021
2021-10-01,16.66,2022
2021-11-01,0.0,2022
2021-12-01,116.85000000000001,2022
2022-01-01,2.18,2022
2022-02-01,8.16,2022
2022-03-01,26.689999999999998,2022
2022-04-01,9.41,2022
2022-05-01,0.0,2022
2022-06-01,8.96,2022
2022-07-01,0.0,2022
2022-08-01,0.0,2022
2022-09-01,16.85,2022
2022-10-01,0.0,2023
2022-11-01,33.9,2023
2022-12-01,78.83,2023
2023-01-01,142.93,2023
2023-02-01,110.1,2023
2023-03-01,82.91,2023
2023-04-01,0.0,2023
2023-05-01,4.42,2023
2023-06-01,0.0,2023
2023-07-01,0.0,2023
2023-08-01,117.27000000000001,2023
2023-09-01,2.02,2023
2023-10-01,0.0,2024
2023-11-01,11.84,2024
2023-12-01,48.56,2024
2024-01-01,30.66,2024
2024-02-01,160.12,2024
2024-03-01,58.57,2024
2024-04-01,18.21,2024
2024-05-01,0.0,2024
2024-06-01,0.0,2024
2024-07-01,0.0,2024
2024-08-01,0.0,2024
2024-09-01,0.0,2024
2024-10-01,0.0,2025
2024-11-01,0.0,2025
2024-12-01,0.0,2025
