,NDVI
2017-01-01,0.19655254
2017-02-01,0.2801178
2017-03-01,0.3087834
2017-04-01,0.2927683
2017-05-01,0.21495982
2017-06-01,0.20287457
2017-07-01,0.19086067
2017-08-01,0.18932714
2017-09-01,0.2023388
2017-10-01,0.19900051
2017-11-01,0.20208782
2017-12-01,0.20786454
2018-01-01,0.1794756
2018-02-01,0.21789101
2018-03-01,0.24514885
2018-04-01,0.24809064
2018-05-01,0.19608437
2018-06-01,0.18729709
2018-07-01,0.17234886
2018-08-01,0.16129152
2018-09-01,0.16892043
2018-10-01,0.17930655
2018-11-01,0.18068111
2018-12-01,0.20067856
2019-01-01,0.22884102
2019-02-01,0.31576264
2019-03-01,0.3648693
2019-04-01,0.27545848
2019-05-01,0.24044015
2019-06-01,0.2158761
2019-07-01,0.20951532
2019-08-01,0.20489267
2019-09-01,0.20710742
2019-10-01,0.20753726
2019-11-01,0.20775585
2019-12-01,0.26545677
2020-01-01,0.28367674
2020-02-01,0.2787705
2020-03-01,0.29798836
2020-04-01,0.33962694
2020-05-01,0.24924311
2020-06-01,0.22200938
2020-07-01,0.21218356
2020-08-01,0.22036041
2020-09-01,0.19941655
2020-10-01,0.204608
2020-11-01,0.22165169
2020-12-01,0.22479525
2021-01-01,0.2191387
2021-02-01,0.24169123
2021-03-01,0.23255317
2021-04-01,0.21038596
2021-05-01,0.1798736
2021-06-01,0.16434553
2021-07-01,0.15766853
2021-08-01,0.14315762
2021-09-01,0.15812665
2021-10-01,0.18474326
2021-11-01,0.18287662
2021-12-01,0.22408667
2022-01-01,0.22730653
2022-02-01,0.23044111
2022-03-01,0.24100958
2022-04-01,0.2227726
2022-05-01,0.19375889
2022-06-01,0.17519365
2022-07-01,0.16803145
2022-08-01,0.1622015
2022-09-01,0.17913255
2022-10-01,0.19101222
2022-11-01,0.20555441
2022-12-01,0.22046141
2023-01-01,0.30347744
2023-02-01,0.3068941
2023-03-01,0.28315338
2023-04-01,0.2992994
2023-05-01,0.25254035
2023-06-01,0.22929555
2023-07-01,0.20257741
2023-08-01,0.21594988
2023-09-01,0.24153724
2023-10-01,0.283978
2023-11-01,0.2682328
