date,mean_precip_mm,water_year
2015-01-01,12.43,2015
2015-02-01,15.24,2015
2015-03-01,4.29,2015
2015-04-01,0.71,2015
2015-05-01,10.309999999999999,2015
2015-06-01,0.1,2015
2015-07-01,8.09,2015
2015-08-01,0.0,2015
2015-09-01,0.0,2015
2015-10-01,0.0,2016
2015-11-01,16.4,2016
2015-12-01,17.77,2016
2016-01-01,84.93,2016
2016-02-01,0.3,2016
2016-03-01,12.200000000000001,2016
2016-04-01,25.17,2016
2016-05-01,13.16,2016
2016-06-01,0.0,2016
2016-07-01,0.0,2016
2016-08-01,0.0,2016
2016-09-01,0.0,2016
2016-10-01,17.38,2017
2016-11-01,17.32,2017
2016-12-01,61.839999999999996,2017
2017-01-01,109.03,2017
2017-02-01,89.08,2017
2017-03-01,17.42,2017
2017-04-01,7.16,2017
2017-05-01,9.96,2017
2017-06-01,0.0,2017
2017-07-01,0.0,2017
2017-08-01,1.77,2017
2017-09-01,13.48,2017
2017-10-01,0.31,2018
2017-11-01,0.3,2018
2017-12-01,0.3,2018
2018-01-01,52.86,2018
2018-02-01,0.08,2018
2018-03-01,139.89,2018
2018-04-01,1.75,2018
2018-05-01,7.99,2018
2018-06-01,0.0,2018
2018-07-01,0.0,2018
2018-08-01,0.0,2018
2018-09-01,0.0,2018
2018-10-01,9.39,2019
2018-11-01,52.69,2019
2018-12-01,20.880000000000003,2019
2019-01-01,219.82999999999998,2019
2019-02-01,166.7,2019
2019-03-01,97.53,2019
2019-04-01,6.6899999999999995,2019
2019-05-01,42.85,2019
2019-06-01,0.0,2019
2019-07-01,0.0,2019
2019-08-01,0.0,2019
2019-09-01,0.0,2019
2019-10-01,0.0,2020
2019-11-01,38.71,2020
2019-12-01,75.81,2020
2020-01-01,6.42,2020
2020-02-01,0.0,2020
2020-03-01,82.71,2020
2020-04-01,82.82000000000001,2020
2020-05-01,0.0,2020
2020-06-01,0.0,2020
2020-07-01,0.0,2020
2020-08-01,0.0,2020
2020-09-01,0.0,2020
2020-10-01,0.0,2021
2020-11-01,0.0,2021
2020-12-01,17.31,2021
2021-01-01,59.3,2021
2021-02-01,0.0,2021
2021-03-01,23.669999999999998,2021
2021-04-01,2.48,2021
2021-05-01,0.0,2021
2021-06-01,0.0,2021
2021-07-01,0.0,2021
2021-08-01,0.0,2021
2021-09-01,0.0,2021
2021-10-01,42.25,2022
2021-11-01,1.42,2022
2021-12-01,93.35,2022
2022-01-01,0.3,2022
2022-02-01,1.43,2022
2022-03-01,37.96,2022
2022-04-01,6.31,2022
2022-05-01,0.0,2022
2022-06-01,0.0,2022
2022-07-01,0.0,2022
2022-08-01,0.0,2022
2022-09-01,4.17,2022
2022-10-01,0.0,2023
2022-11-01,23.39,2023
2022-12-01,91.24000000000001,2023
2023-01-01,141.0,2023
2023-02-01,69.78,2023
2023-03-01,109.0,2023
2023-04-01,0.0,2023
2023-05-01,0.0,2023
2023-06-01,7.74,2023
2023-07-01,0.0,2023
2023-08-01,13.37,2023
2023-09-01,0.0,2023
2023-10-01,0.0,2024
2023-11-01,6.76,2024
2023-12-01,79.22,2024
2024-01-01,72.8,2024
2024-02-01,47.58,2024
2024-03-01,54.48,2024
2024-04-01,22.299999999999997,2024
2024-05-01,2.54,2024
2024-06-01,0.0,2024
2024-07-01,0.0,2024
2024-08-01,0.0,2024
2024-09-01,2.89,2024
2024-10-01,0.0,2025
2024-11-01,63.89,2025
2024-12-01,5.4,2025
